"time","adder.y","source1.y","source2.y"
0.5453,1.03726,0.518675,0.518675
0.5454,1.03743,0.51876,0.51876
0.5455,1.03761,0.518846,0.518846
0.5456,1.03778,0.518931,0.518931
0.5457,1.03795,0.519017,0.519017
0.5458,1.03812,0.519102,0.519102
0.5459,1.03829,0.519187,0.519187
0.546,1.03846,0.519273,0.519273
0.5461,1.03863,0.519358,0.519358
0.5462,1.0388,0.519444,0.519444
0.5463,1.03897,0.519529,0.519529
0.5464,1.03914,0.519615,0.519615
0.5465,1.03931,0.5197,0.5197
0.5466,1.03949,0.519786,0.519786
0.5467,1.03966,0.519871,0.519871
0.5468,1.03983,0.519956,0.519956
0.5469,1.04,0.520042,0.520042
0.547,1.04017,0.520127,0.520127
0.5471,1.04034,0.520213,0.520213
0.5472,1.04051,0.520298,0.520298
0.5473,1.04068,0.520384,0.520384
0.5474,1.04085,0.520469,0.520469
0.5475,1.04102,0.520554,0.520554
0.5476,1.04119,0.52064,0.52064
0.5477,1.04136,0.520725,0.520725
0.5478,1.04154,0.52081,0.52081
0.5479,1.04171,0.520896,0.520896
0.548,1.04188,0.520981,0.520981
0.5481,1.04205,0.521066,0.521066
0.5482,1.04222,0.521152,0.521152
0.5483,1.04239,0.521237,0.521237
0.5484,1.04256,0.521323,0.521323
0.5485,1.04273,0.521408,0.521408
0.5486,1.0429,0.521493,0.521493
0.5487,1.04307,0.521579,0.521579
0.5488,1.04324,0.521664,0.521664
0.5489,1.04341,0.521749,0.521749
0.549,1.04358,0.521834,0.521834
0.5491,1.04375,0.52192,0.52192
0.5492,1.04392,0.522005,0.522005
0.5493,1.0441,0.52209,0.52209
0.5494,1.04427,0.522176,0.522176
0.5495,1.04444,0.522261,0.522261
0.5496,1.04461,0.522346,0.522346
0.5497,1.04478,0.522431,0.522431
0.5498,1.04495,0.522517,0.522517
0.5499,1.04512,0.522602,0.522602
0.55,1.04529,0.522687,0.522687
0.5501,1.04546,0.522772,0.522772
0.5502,1.04563,0.522858,0.522858
0.5503,1.0458,0.522943,0.522943
0.5504,1.04597,0.523028,0.523028
0.5505,1.04614,0.523113,0.523113
0.5506,1.04631,0.523199,0.523199
0.5507,1.04648,0.523284,0.523284
0.5508,1.04665,0.523369,0.523369
0.5509,1.04682,0.523454,0.523454
0.551,1.04699,0.523539,0.523539
0.5511,1.04716,0.523625,0.523625
0.5512,1.04733,0.52371,0.52371
0.5513,1.0475,0.523795,0.523795
0.5514,1.04768,0.52388,0.52388
0.5515,1.04785,0.523965,0.523965
0.5516,1.04802,0.524051,0.524051
0.5517,1.04819,0.524136,0.524136
0.5518,1.04836,0.524221,0.524221
0.5519,1.04853,0.524306,0.524306
0.552,1.0487,0.524391,0.524391
0.5521,1.04887,0.524476,0.524476
0.5522,1.04904,0.524562,0.524562
0.5523,1.04921,0.524647,0.524647
0.5524,1.04938,0.524732,0.524732
0.5525,1.04955,0.524817,0.524817
0.5526,1.04972,0.524902,0.524902
0.5527,1.04989,0.524987,0.524987
0.5528,1.05006,0.525072,0.525072
0.5529,1.05023,0.525157,0.525157
0.553,1.0504,0.525242,0.525242
0.5531,1.05057,0.525328,0.525328
0.5532,1.05074,0.525413,0.525413
0.5533,1.05091,0.525498,0.525498
0.5534,1.05108,0.525583,0.525583
0.5535,1.05125,0.525668,0.525668
0.5536,1.05142,0.525753,0.525753
0.5537,1.05159,0.525838,0.525838
0.5538,1.05176,0.525923,0.525923
0.5539,1.05193,0.526008,0.526008
0.554,1.0521,0.526093,0.526093
0.5541,1.05227,0.526178,0.526178
0.5542,1.05244,0.526263,0.526263
0.5543,1.05261,0.526348,0.526348
0.5544,1.05278,0.526433,0.526433
0.5545,1.05295,0.526518,0.526518
0.5546,1.05312,0.526603,0.526603
0.5547,1.05329,0.526688,0.526688
0.5548,1.05346,0.526773,0.526773
0.5549,1.05363,0.526858,0.526858
0.555,1.0538,0.526943,0.526943
0.5551,1.05397,0.527028,0.527028
0.5552,1.05414,0.527113,0.527113
0.5553,1.05431,0.527198,0.527198
0.5554,1.05448,0.527283,0.527283
0.5555,1.05465,0.527368,0.527368
0.5556,1.05482,0.527453,0.527453
0.5557,1.05499,0.527538,0.527538
0.5558,1.05516,0.527623,0.527623
0.5559,1.05533,0.527708,0.527708
0.556,1.0555,0.527793,0.527793
0.5561,1.05567,0.527878,0.527878
0.5562,1.05584,0.527963,0.527963
0.5563,1.05601,0.528048,0.528048
0.5564,1.05618,0.528133,0.528133
0.5565,1.05635,0.528218,0.528218
0.5566,1.05652,0.528302,0.528302
0.5567,1.05669,0.528387,0.528387
0.5568,1.05686,0.528472,0.528472
0.5569,1.05703,0.528557,0.528557
0.557,1.0572,0.528642,0.528642
0.5571,1.05737,0.528727,0.528727
0.5572,1.05754,0.528812,0.528812
0.5573,1.05771,0.528897,0.528897
0.5574,1.05788,0.528982,0.528982
0.5575,1.05805,0.529066,0.529066
0.5576,1.05822,0.529151,0.529151
0.5577,1.05839,0.529236,0.529236
0.5578,1.05856,0.529321,0.529321
0.5579,1.05873,0.529406,0.529406
0.558,1.0589,0.529491,0.529491
0.5581,1.05907,0.529575,0.529575
0.5582,1.05924,0.52966,0.52966
0.5583,1.05941,0.529745,0.529745
0.5584,1.05958,0.52983,0.52983
0.5585,1.05974,0.529915,0.529915
0.5586,1.05991,0.53,0.53
0.5587,1.06008,0.530084,0.530084
0.5588,1.06025,0.530169,0.530169
