"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.59,2.7687,0.0596569,0.128727,155.433,0.0988393,-0.161299,-155.36
0.592,2.77331,0.059914,0.12823,153.032,0.0985085,-0.172093,-152.962
0.594,2.77765,0.0601701,0.127671,150.554,0.0981565,-0.182388,-150.486
0.596,2.78264,0.060425,0.127047,148.002,0.0977843,-0.19217,-147.937
0.598,2.78682,0.0606785,0.126357,145.382,0.0973929,-0.201425,-145.319
0.6,2.79116,0.0609307,0.125599,142.697,0.0969835,-0.210141,-142.638
0.602,2.79544,0.0611813,0.124773,139.953,0.096557,-0.218305,-139.897
0.604,2.79923,0.0614302,0.123878,137.156,0.0961146,-0.225907,-137.103
0.606,2.80331,0.0616772,0.122912,134.309,0.0956574,-0.232937,-134.259
0.608,2.8076,0.0619223,0.121875,131.419,0.0951866,-0.239386,-131.373
0.61,2.81215,0.0621652,0.120765,128.491,0.0947033,-0.245246,-128.448
0.612,2.81636,0.0624059,0.119583,125.53,0.0942088,-0.250511,-125.49
0.614,2.82064,0.0626441,0.118328,122.541,0.0937042,-0.255176,-122.504
0.616,2.82508,0.0628798,0.116999,119.53,0.0931907,-0.259236,-119.497
0.618,2.82943,0.0631127,0.115595,116.502,0.0926695,-0.262688,-116.472
0.62,2.83372,0.0633428,0.114118,113.464,0.0921419,-0.265529,-113.437
0.622,2.83818,0.0635699,0.112567,110.419,0.0916091,-0.267758,-110.396
0.624,2.84255,0.0637938,0.110941,107.374,0.0910723,-0.269375,-107.354
0.626,2.84729,0.0640144,0.109242,104.335,0.0905327,-0.270382,-104.318
0.628,2.8514,0.0642316,0.107469,101.306,0.0899915,-0.27078,-101.293
0.63,2.85581,0.0644452,0.105622,98.2938,0.08945,-0.270573,-98.2838
0.632,2.8605,0.064655,0.103703,95.3029,0.0889094,-0.269764,-95.2961
0.634,2.86463,0.0648609,0.101712,92.3388,0.0883708,-0.26836,-92.3353
0.636,2.86941,0.0650628,0.0996503,89.407,0.0878355,-0.266367,-89.4067
0.638,2.874,0.0652605,0.0975178,86.5126,0.0873046,-0.263791,-86.5155
0.64,2.87835,0.0654539,0.0953161,83.6608,0.0867793,-0.260643,-83.6668
0.642,2.88316,0.0656428,0.0930461,80.8566,0.0862607,-0.25693,-80.8657
0.644,2.88796,0.0658272,0.0907092,78.105,0.08575,-0.252664,-78.1172
0.646,2.89224,0.0660068,0.0883066,75.4109,0.0852482,-0.247857,-75.4261
0.648,2.89669,0.0661816,0.0858398,72.779,0.0847564,-0.24252,-72.7971
0.65,2.90109,0.0663514,0.0833104,70.214,0.0842757,-0.236667,-70.2349
0.652,2.90558,0.0665161,0.0807199,67.7204,0.083807,-0.230312,-67.7441
0.654,2.91009,0.0666755,0.0780701,65.3026,0.0833514,-0.223471,-65.3289
0.656,2.91454,0.0668297,0.0753629,62.9648,0.0829099,-0.216159,-62.9937
0.658,2.91929,0.0669783,0.0726001,60.711,0.0824833,-0.208393,-60.7424
0.66,2.92389,0.0671214,0.0697838,58.5453,0.0820726,-0.200191,-58.579
0.662,2.92838,0.0672588,0.0669161,56.4713,0.0816787,-0.19157,-56.5074
0.664,2.93306,0.0673905,0.0639992,54.4927,0.0813022,-0.182551,-54.531
0.666,2.93778,0.0675163,0.0610352,52.613,0.0809441,-0.173153,-52.6533
0.668,2.94245,0.0676361,0.0580266,50.8352,0.0806051,-0.163396,-50.8775
0.67,2.94745,0.0677499,0.0549758,49.1626,0.0802858,-0.153302,-49.2067
0.672,2.95207,0.0678575,0.0518851,47.5978,0.079987,-0.142891,-47.6437
0.674,2.95667,0.0679589,0.0487572,46.1437,0.0797092,-0.132186,-46.1912
0.676,2.96175,0.0680541,0.0455946,44.8027,0.079453,-0.121209,-44.8516
0.678,2.96689,0.0681429,0.0424,43.577,0.0792189,-0.109984,-43.6273
0.68,2.97205,0.0682253,0.039176,42.4687,0.0790075,-0.0985339,-42.5201
0.682,2.97683,0.0683012,0.0359254,41.4796,0.0788192,-0.0868827,-41.5321
0.684,2.98181,0.0683706,0.032651,40.6113,0.0786543,-0.0750544,-40.6648
0.686,2.98681,0.0684334,0.0293556,39.8652,0.0785131,-0.0630734,-39.9195
0.688,2.99169,0.0684896,0.026042,39.2426,0.078396,-0.0509645,-39.2975
0.69,2.99651,0.0685392,0.022713,38.7443,0.0783032,-0.0387525,-38.7998
0.692,3.00142,0.0685822,0.0193716,38.3711,0.0782349,-0.0264623,-38.427
0.694,3.0063,0.0686184,0.0160207,38.1235,0.0781913,-0.0141192,-38.1797
0.696,3.01152,0.0686479,0.0126632,38.0019,0.0781723,-0.00174811,-38.0582
0.698,3.01652,0.0686707,0.00930194,38.0062,0.0781781,0.0106256,-38.0625
0.7,3.02127,0.0686868,0.00593994,38.1363,0.0782086,0.0229769,-38.1924
